At. num,Sp. Name,Ion Charge,El. Name,Binding Energy (a) (eV),Uncertainty (b) (eV)
"14","Si XIII","+12","Silicon","5110.83601","0.00017"
"14","Si XIV","+13","Silicon","2673.177958","0.000017"
"15","P I","0","Phosphorus","9305.8","0.5"
"15","P II","+1","Phosphorus","9295.3","0.5"
"15","P III","+2","Phosphorus","9275.5","0.5"
"15","P IV","+3","Phosphorus","9245.4","0.5"
"15","P V","+4","Phosphorus","9193.9","0.5"
"15","P VI","+5","Phosphorus","9128.8","0.5"
"15","P VII","+6","Phosphorus","8908.4","0.5"
"15","P VIII","+7","Phosphorus","8644.9","0.5"
"15","P IX","+8","Phosphorus","8335.2","0.5"
"15","P X","+9","Phosphorus","7962.95","0.24"
"15","P XI","+10","Phosphorus","7538.55","0.15"
"15","P XII","+11","Phosphorus","7059.11","0.10"
"15","P XIII","+12","Phosphorus","6498.492","0.007"
"15","P XIV","+13","Phosphorus","5886.75082","0.00019"
"15","P XV","+14","Phosphorus","3069.842145","0.000014"
"16","S I","0","Sulfur","10859.7","0.9"
"16","S II","+1","Sulfur","10849.2","0.9"
"16","S III","+2","Sulfur","10825.9","0.9"
"16","S IV","+3","Sulfur","10791.1","0.7"
"16","S V","+4","Sulfur","10743.9","0.7"
"16","S VI","+5","Sulfur","10671.3","0.7"
"16","S VII","+6","Sulfur","10583.2","0.7"
"16","S VIII","+7","Sulfur","10302.2","0.7"
"16","S IX","+8","Sulfur","9973.4","0.7"
"16","S X","+9","Sulfur","9593.6","0.6"
"16","S XI","+10","Sulfur","9145.9","0.3"
"16","S XII","+11","Sulfur","8641.33","0.17"
"16","S XIII","+12","Sulfur","8076.93","0.12"
"16","S XIV","+13","Sulfur","7424.962","0.007"
"16","S XV","+14","Sulfur","6717.96908","0.00020"
"16","S XVI","+15","Sulfur","3494.188518","0.000019"
"17","Cl I","0","Chlorine","12556.4","1.6"
"17","Cl II","+1","Chlorine","12543.5","1.6"
"17","Cl III","+2","Chlorine","12519.6","1.6"
"17","Cl IV","+3","Chlorine","12479.8","1.5"
"17","Cl V","+4","Chlorine","12426.6","1.4"
"17","Cl VI","+5","Chlorine","12358.9","1.4"
"17","Cl VII","+6","Chlorine","12261.9","1.2"
"17","Cl VIII","+7","Chlorine","12147.7","1.2"
"17","Cl IX","+8","Chlorine","11799.5","1.2"
"17","Cl X","+9","Chlorine","11398.6","1.2"
"17","Cl XI","+10","Chlorine","10941.9","0.9"
"17","Cl XII","+11","Chlorine","10411.9","0.5"
"17","Cl XIII","+12","Chlorine","9820.4","0.4"
"17","Cl XIV","+13","Chlorine","9164.06","0.19"
"17","Cl XV","+14","Chlorine","8413.833","0.007"
"17","Cl XVI","+15","Chlorine","7604.63544","0.00024"
"17","Cl XVII","+16","Chlorine","3946.29179","0.00007"
"18","Ar I","0","Argon","14400.8","2.4"
"18","Ar II","+1","Argon","14385.0","2.4"
"18","Ar III","+2","Argon","14357.4","2.4"
"18","Ar IV","+3","Argon","14316.7","2.4"
"18","Ar V","+4","Argon","14257.1","2.1"
"18","Ar VI","+5","Argon","14182.2","2.0"
"18","Ar VII","+6","Argon","14090.9","2.0"
"18","Ar VIII","+7","Argon","13966.6","2.0"
"18","Ar IX","+8","Argon","13823.1","2.0"
"18","Ar X","+9","Argon","13400.5","1.9"
"18","Ar XI","+10","Argon","12920.8","1.9"
"18","Ar XII","+11","Argon","12380.3","1.2"
"18","Ar XIII","+12","Argon","11761.4","0.7"
"18","Ar XIV","+13","Argon","11075.9","0.5"
"18","Ar XV","+14","Argon","10320.7","0.3"
"18","Ar XVI","+15","Argon","9465.264","0.007"
"18","Ar XVII","+16","Argon","8546.88966","0.00022"
"18","Ar XVIII","+17","Argon","4426.22407","0.00004"
"19","K I","0","Potassium","16382","4"
"19","K II","+1","Potassium","16378","4"
"19","K III","+2","Potassium","16346","4"
"19","K IV","+3","Potassium","16300","4"
"19","K V","+4","Potassium","16239","4"
"19","K VI","+5","Potassium","16156","4"
"19","K VII","+6","Potassium","16057","4"
"19","K VIII","+7","Potassium","15939","4"
"19","K IX","+8","Potassium","15786","4"
"19","K X","+9","Potassium","15610","4"
"19","K XI","+10","Potassium","15106","3"
"19","K XII","+11","Potassium","14540.0","2.2"
"19","K XIII","+12","Potassium","13908.9","1.4"
"19","K XIV","+13","Potassium","13194.3","0.9"
"19","K XV","+14","Potassium","12408.0","0.6"
"19","K XVI","+15","Potassium","11547.0","0.4"
"19","K XVII","+16","Potassium","10579.398","0.007"
"19","K XVIII","+17","Potassium","9544.85694","0.00025"
"19","K XIX","+18","Potassium","4934.04979","0.00005"
"20","Ca I","0","Calcium","18510","4"
"20","Ca II","+1","Calcium","18505","4"
"20","Ca III","+2","Calcium","18492","4"
"20","Ca IV","+3","Calcium","18441","4"
"20","Ca V","+4","Calcium","18374","4"
