0.5,-0.4653846066
0.55,-0.6050771313
0.6,-0.714844836
0.65,-0.8019093103
0.7,-0.8714341481
0.75,-0.9272007497
0.8,-0.9720360163
0.85,-1.008092031
0.9,-1.037033388
0.95,-1.060165287
1,-1.078522938
1.05,-1.092935425
1.1,-1.10407235
1.15,-1.112478195
1.2,-1.118600268
1.25,-1.122806426
1.3,-1.125402286
1.35,-1.126642892
1.4,-1.126742147
1.45,-1.125880221
1.5,-1.124209411
1.55,-1.121858814
1.6,-1.118938104
1.65,-1.115540598
1.7,-1.111745795
1.75,-1.10762148
1.8,-1.103225486
1.85,-1.098607185
1.9,-1.093808747
1.95,-1.088866207
2,-1.083810374
2.05,-1.078667593
2.1,-1.073460404
2.15,-1.068208092
2.2,-1.062927155
2.25,-1.057631305
2.3,-1.052333426
2.35,-1.047043408
2.4,-1.041770051
2.45,-1.03652086
2.5,-1.031302228
2.55,-1.026119597
2.6,-1.020977594
2.65,-1.015880149
2.7,-1.010830597
2.75,-1.005831766
2.8,-1.000886052
2.85,-0.9959954848
2.9,-0.9911617778
2.95,-0.9863863787
3,-0.9816705055
3.05,-0.9770151793
3.1,-0.9724212503
3.15,-0.9678894203
3.2,-0.9634202603
3.25,-0.9590142251
3.3,-0.9546716658
3.35,-0.9503928389
3.4,-0.9461779148
3.45,-0.9420269842
3.5,-0.9379400638
3.55,-0.9339171014
3.6,-0.9299579796
3.65,-0.9260625199
3.7,-0.9222304865
3.75,-0.9184615894
3.8,-0.9147554877
3.85,-0.9111117931
3.9,-0.9075296524
3.95,-0.904009437
4,-0.9005502113
4.05,-0.8971514298
4.1,-0.8938125161
4.15,-0.8905328657
4.2,-0.8873118498
4.25,-0.8841488179
4.3,-0.8810431011
4.35,-0.8779940153
4.4,-0.8750008634
4.45,-0.8720629383
4.5,-0.8691795254
4.55,-0.8663499048
4.6,-0.8635733533
4.65,-0.8608491465
4.7,-0.8581765606
4.75,-0.8555548736
4.8,-0.8529833668
4.85,-0.8504613262
4.9,-0.8479880431
4.95,-0.8455628149
5,-0.843184946
5.05,-0.8408537483
5.1,-0.8385685411
5.15,-0.8363286518
5.2,-0.8341334158
5.25,-0.8319821764
5.3,-0.8298742847
5.35,-0.8278090998
5.4,-0.825785988
5.45,-0.8238043228
5.5,-0.8218634847
5.55,-0.8199628604
5.6,-0.8181018427
5.65,-0.8162798302
5.7,-0.8144962264
5.75,-0.8127504399
5.8,-0.8110418833
5.85,-0.8093699736
5.9,-0.8077341312
5.95,-0.8061337796
6,-0.8045683457
6.05,-0.8030372588
6.1,-0.8015399505
6.15,-0.8000758551
6.2,-0.7986444086
6.25,-0.797245049
6.3,-0.7958772163
6.35,-0.7945403521
6.4,-0.7932338999
6.45,-0.791957305
6.5,-0.7907100145
6.55,-0.7894914774
6.6,-0.7883011449
6.65,-0.7871384701
6.7,-0.7860029086
6.75,-0.7848939184
6.8,-0.7838109603
6.85,-0.782753498
6.9,-0.7817209981
6.95,-0.7807129308
